WATERSHED,SAMPLE_DATE,SITE_NAME,LON_DD_WGS84,LAT_DD_WGS84,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,METHOD,QC_FLAG,PROJECT,DATA_REF_NO,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,04/02/2025 01:00:00 PM,Old Mill (Sunken Gardens) Spring,-97.76807574,30.26358486,Spring,Ground Water,Oxygen,DISSOLVED OXYGEN,,3.87,MG/L,Dissolved,422-Old Mill Spg,422,In-Situ Aqua Troll,,Barton Springs TPDES,3032195,597467,N,
Barton Creek,04/02/2025 12:50:00 PM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Ground Water,Oxygen,DISSOLVED OXYGEN,,4.85,MG/L,Dissolved,35-Barton Spg,35,In-Situ Aqua Troll,,Barton Springs TPDES,3032196,597468,N,
Barton Creek,04/02/2025 12:30:00 PM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Ground Water,Oxygen,DISSOLVED OXYGEN,,5.09,MG/L,Dissolved,428-Eliza Spg,428,In-Situ Aqua Troll,,Barton Springs TPDES,3032194,597466,N,
Barton Creek,03/13/2025 01:35:00 PM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Habitat,Temporal,TOTAL TIME SPENT,,119,Minutes,Total,35-DS-DriveSurveyBarton Spg,35,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3032045,597455,N,
Barton Creek,03/13/2025 01:35:00 PM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,0,Count,Total,35-DS-DriveSurveyBarton Spg,35,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032070,597455,N,
Barton Creek,03/13/2025 01:35:00 PM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,0,Count,Total,35-DS-DriveSurveyBarton Spg,35,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032055,597455,N,
Barton Creek,03/13/2025 10:05:00 AM,Old Mill (Sunken Gardens) Spring,-97.76807574,30.26358486,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,0,Count,Total,422-DS-DriveSurveyOld Mill Spg,422,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032054,597454,N,
Barton Creek,03/13/2025 10:05:00 AM,Old Mill (Sunken Gardens) Spring,-97.76807574,30.26358486,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,0,Count,Total,422-DS-DriveSurveyOld Mill Spg,422,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032069,597454,N,
Barton Creek,03/13/2025 10:05:00 AM,Old Mill (Sunken Gardens) Spring,-97.76807574,30.26358486,Spring,Habitat,Temporal,TOTAL TIME SPENT,,120,Minutes,Total,422-DS-DriveSurveyOld Mill Spg,422,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3032044,597454,N,
Barton Creek,03/13/2025 09:30:00 AM,Old Mill (Sunken Gardens) Spring,-97.76807574,30.26358486,Spring,Surface Water,Oxygen,DISSOLVED OXYGEN,,3.67,MG/L,Dissolved,422-WQ-Old Mill Spg,422,In-Situ Aqua Troll,,Barton Spring Austin Blind Salamander Cap-Recap,3032021,597457,N,
Barton Creek,03/13/2025 09:30:00 AM,Old Mill (Sunken Gardens) Spring,-97.76807574,30.26358486,Spring,Surface Water,Flow/Rainfall,FLOW,,0.43,Cubic Feet Per Second,Total,422-WQ-Old Mill Spg,422,Hach FH950,,Barton Spring Austin Blind Salamander Cap-Recap,3032029,597457,N,
Barton Creek,03/13/2025 09:15:00 AM,Old Mill Stream (outflow from Sunken Gardens Pool),-97.768098931091,30.2639043625811,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,0,Count,Total,3594-DS-DriveSurveyOld Mill Stream,3594,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032053,597453,N,
Barton Creek,03/13/2025 09:15:00 AM,Old Mill Stream (outflow from Sunken Gardens Pool),-97.768098931091,30.2639043625811,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,0,Count,Total,3594-DS-DriveSurveyOld Mill Stream,3594,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032068,597453,N,
Barton Creek,03/13/2025 09:15:00 AM,Old Mill Stream (outflow from Sunken Gardens Pool),-97.768098931091,30.2639043625811,Spring,Habitat,Temporal,TOTAL TIME SPENT,,30,Minutes,Total,3594-DS-DriveSurveyOld Mill Stream,3594,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3032040,597453,N,
Barton Creek,03/03/2025 09:35:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,642,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032067,597452,N,
Barton Creek,03/03/2025 09:35:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,1,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032063,597452,N,
Barton Creek,03/03/2025 09:35:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Temporal,TOTAL TIME SPENT,,1390,Minutes,Total,428-DS-DriveSurveyEliza Spg,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3032052,597452,N,
Barton Creek,02/27/2025 09:30:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,601,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032066,597451,N,
Barton Creek,02/27/2025 09:30:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,1,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032062,597451,N,
Barton Creek,02/27/2025 09:30:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Temporal,TOTAL TIME SPENT,,1608,Minutes,Total,428-DS-DriveSurveyEliza Spg,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3032051,597451,N,
Barton Creek,02/25/2025 09:30:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Temporal,TOTAL TIME SPENT,,1910,Minutes,Total,428-DS-DriveSurveyEliza Spg,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3032050,597450,N,
Barton Creek,02/25/2025 09:30:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,798,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032065,597450,N,
Barton Creek,02/25/2025 09:30:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,0,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3032061,597450,N,
Barton Creek,02/25/2025 09:20:00 AM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Ground Water,Oxygen,DISSOLVED OXYGEN,,4.61,MG/L,Dissolved,35-Barton Spg,35,In-Situ Aqua Troll,,Barton Springs TPDES,3028973,597178,N,
Barton Creek,01/08/2025 09:45:00 AM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Ground Water,Oxygen,DISSOLVED OXYGEN,,4.29,MG/L,Dissolved,35-Barton Spg,35,In-Situ Aqua Troll,,Barton Springs TPDES,3027431,596883,N,
Barton Creek,12/11/2024 10:45:00 AM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Ground Water,Oxygen,DISSOLVED OXYGEN,,4.18,MG/L,Dissolved,35-Barton Spg,35,In-Situ Aqua Troll,,Barton Springs TPDES,3024931,596753,N,
Barton Creek,12/11/2024 10:45:00 AM,Old Mill (Sunken Gardens) Spring,-97.76807574,30.26358486,Spring,Ground Water,Oxygen,DISSOLVED OXYGEN,,2.63,MG/L,Dissolved,422-Old Mill Spg,422,In-Situ Aqua Troll,,Barton Springs TPDES,3024929,596751,N,
Barton Creek,12/11/2024 10:05:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Ground Water,Oxygen,DISSOLVED OXYGEN,,4.36,MG/L,Dissolved,428-Eliza Spg,428,In-Situ Aqua Troll,,Barton Springs TPDES,3024930,596752,N,
Barton Creek,11/21/2024 11:05:00 AM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,0,Count,Total,35-DS-DriveSurveyBarton Spg,35,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3025039,596766,N,
Barton Creek,11/21/2024 11:05:00 AM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,0,Count,Total,35-DS-DriveSurveyBarton Spg,35,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3024962,596766,N,
Barton Creek,11/21/2024 11:05:00 AM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Habitat,Temporal,TOTAL TIME SPENT,,330,Minutes,Total,35-DS-DriveSurveyBarton Spg,35,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025029,596766,N,
Barton Creek,11/15/2024 11:08:00 AM,Old Mill Stream (outflow from Sunken Gardens Pool),-97.768098931091,30.2639043625811,Spring,Surface Water,Flow/Rainfall,FLOW,,0.05,Cubic Feet Per Second,Total,3594-WQ-Old Mill Stream,3594,Hach FH950,,Barton Spring Austin Blind Salamander Cap-Recap,3025022,596772,N,
Barton Creek,11/15/2024 10:24:00 AM,Old Mill (Sunken Gardens) Spring,-97.76807574,30.26358486,Spring,Surface Water,Oxygen,DISSOLVED OXYGEN,,3.15,MG/L,Dissolved,422-WQ-Old Mill Spg,422,In-Situ Aqua Troll,,Barton Spring Austin Blind Salamander Cap-Recap,3025017,596770,N,
Barton Creek,11/13/2024 09:15:00 AM,Barton Spring,-97.7709796798271,30.2635351223695,Spring,Ground Water,Oxygen,DISSOLVED OXYGEN,,4.16,MG/L,Dissolved,35-Barton Spg,35,In-Situ Aqua Troll,,Barton Springs TPDES,3022477,596602,N,
Barton Creek,11/06/2024 10:45:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Temporal,TOTAL TIME SPENT,,890,Minutes,Total,428-DS-DriveSurveyEliza Spg,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025035,596769,N,
Barton Creek,11/06/2024 10:45:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,246,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3024968,596769,N,
Barton Creek,11/06/2024 10:45:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,0,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3024965,596769,N,
Barton Creek,11/06/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,BARTON SPRINGS SLMNDR (TOTAL 1-2IN.),,196,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025112,596774,Y,
Barton Creek,11/06/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,AUSTIN BLIND SLMNDR (<1IN.)  (JUVENILE),,0,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025114,596774,Y,
Barton Creek,11/06/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,BARTON SPRINGS SLMNDR  (TOTAL <1IN.),,46,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025111,596774,Y,
Barton Creek,11/06/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,BARTON SPRINGS SLMNDR (TOTAL >=2IN.),,28,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025113,596774,Y,
Barton Creek,11/06/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,AUSTIN BLIND SLMNDR (>=2IN.),,0,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025116,596774,Y,
Barton Creek,11/06/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,AUSTIN BLIND SLMNDR (1-2IN.),,0,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025115,596774,Y,
Barton Creek,11/05/2024 09:05:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,1,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3024964,596768,N,
Barton Creek,11/05/2024 09:05:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,326,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3024967,596768,N,
Barton Creek,11/05/2024 09:05:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Temporal,TOTAL TIME SPENT,,1065,Minutes,Total,428-DS-DriveSurveyEliza Spg,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025031,596768,N,
Barton Creek,11/05/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,BARTON SPRINGS SLMNDR  (TOTAL <1IN.),,47,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025123,596776,Y,
Barton Creek,11/05/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,AUSTIN BLIND SLMNDR (1-2IN.),,0,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025127,596776,Y,
Barton Creek,11/05/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,AUSTIN BLIND SLMNDR (<1IN.)  (JUVENILE),,1,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025126,596776,Y,
Barton Creek,11/05/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,AUSTIN BLIND SLMNDR (>=2IN.),,0,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025128,596776,Y,
Barton Creek,11/05/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,BARTON SPRINGS SLMNDR (TOTAL 1-2IN.),,246,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025124,596776,Y,
Barton Creek,11/05/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,BARTON SPRINGS SLMNDR (TOTAL >=2IN.),,50,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025125,596776,Y,
Barton Creek,11/01/2024 09:30:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF BARTON SPRINGS SALAMANDERS PHOTOGRAPHED,,397,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3025040,596767,N,
Barton Creek,11/01/2024 09:30:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Salamanders,NUMBER OF AUSTIN BLIND SALAMANDERS PHOTOGRAPHED,,0,Count,Total,428-DS-DriveSurveyEliza Spg,428,VISUAL ASSESSMENT,,Barton Spring Austin Blind Salamander Cap-Recap,3024963,596767,N,
Barton Creek,11/01/2024 09:30:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Habitat,Temporal,TOTAL TIME SPENT,,1080,Minutes,Total,428-DS-DriveSurveyEliza Spg,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025030,596767,N,
Barton Creek,11/01/2024 09:24:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Surface Water,Oxygen,DISSOLVED OXYGEN,,4.17,MG/L,Total,,428,In-Situ Aqua Troll,,Barton Spring Austin Blind Salamander Cap-Recap,3027474,596949,N,
Barton Creek,11/01/2024 12:00:00 AM,Eliza Spring,-97.7700605859118,30.2642461579302,Spring,Fish/Salamander,Salamanders,AUSTIN BLIND SLMNDR (>=2IN.),,0,Count,Total,Totals calculation,428,CALCULATION,,Barton Spring Austin Blind Salamander Cap-Recap,3025152,596780,Y,
