"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SSU-rRNA_Cel",3442560.95240613,-9.87051742265457,0.784584979734748,-12.58055873819,2.70112613573229e-36,6.59074777118679e-34
"LSU-rRNA_Cel",1760784.62530164,-7.68043955203992,0.76092836776545,-10.0935119222778,5.90193915956874e-24,7.20036577467386e-22
"CER7-I_CE-int",2226.08992471913,-3.91164668571925,0.64083691936455,-6.10396587262484,1.03468387967313e-09,8.41542888800815e-08
"CeRep55",237.067060365576,-4.38307123662135,0.773565636664826,-5.66606248891646,1.46116256060184e-08,8.91309161967123e-07
"(TC)n",311.72976134314,1.90830503857665,0.361840072165626,5.27389083015426,1.3356137604274e-07,6.51779515088572e-06
"(CAAA)n",15.1308473961218,6.30678805907412,1.24927585192768,5.04835505252303,4.45630382197639e-07,1.81223022093707e-05
"(CTG)n",1404.18324515245,1.87211774894738,0.388110852376785,4.82366761321556,1.40942219766065e-06,4.91284308898854e-05
"(TCC)n",105.781496611933,3.01433918911596,0.635531562684361,4.74302043534075,2.10555020471357e-06,5.83843704253472e-05
"(TGG)n",419.082994057882,1.63636977858641,0.345338141143539,4.73845655498056,2.15352185995133e-06,5.83843704253472e-05
"TC5A",68.0405310367799,-2.64975170773606,0.622748393482345,-4.2549314224946,2.0911309617304e-05,0.000510235954662217
"Mariner2_CE",246.960906884332,-1.76550302826707,0.420005655813504,-4.20352203316761,2.62793558379238e-05,0.000582923893132128
"LONGPAL2",18.1950089476262,-2.50581516827419,0.608869585326897,-4.11552034895756,3.86306912068259e-05,0.00078549072120546
"(AATTG)n",20.1760459582201,4.60524817351286,1.12452792723885,4.09527239116286,4.21672317360966e-05,0.000791446503354428
"(CGG)n",69.9375938292282,1.89505851888623,0.465125100545358,4.07429854175636,4.61532453943418e-05,0.000804385134015671
"(CCAA)n",20.9340185860031,5.10004886110715,1.26217071603323,4.0406965526309,5.32926783119814e-05,0.000866894233874897
"(GAA)n",315.042664841835,1.22885057040862,0.326159670786579,3.76763493611908,0.000164801465403763,0.00251322234740739
"(TTC)n",147.592174356696,1.3736390551977,0.394802947207516,3.47930294065331,0.00050271994349232,0.00721550977718388
"(CAT)n",511.312071231245,1.10333373695231,0.320741200091223,3.43995014247781,0.000581821356871376,0.00788691172647865
"LINE2C_CE",32.455251700933,-2.79251398880709,0.833208932731164,-3.35151710346353,0.000803700742631161,0.0103212095369475
"(CAG)n",207.715808350068,1.16494125104836,0.361131116947305,3.22581244423295,0.00125615644545278,0.0153251086345239
