"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SSU-rRNA_Cel",3442560.95240613,-10.4661505387807,0.691960339553245,-15.125361874841,1.10193224828181e-51,2.64463739587634e-49
"LSU-rRNA_Cel",1760784.62530164,-7.56893307547728,0.671083049791731,-11.2786831344143,1.67230504685185e-29,2.00676605622222e-27
"CER7-I_CE-int",2226.08992471913,-5.0916355880204,0.5659031115554,-8.9973627712099,2.31204555895068e-19,1.84963644716054e-17
"Helitron1_CE",2426.762018961,-3.99253701315962,0.483948772003563,-8.24991661127766,1.58505090024947e-16,9.51030540149685e-15
"(TC)n",311.72976134314,2.18772270494328,0.318860026953634,6.86107545635189,6.83440490627787e-12,3.28051435501338e-10
"(GAA)n",315.042664841835,1.90450233515855,0.288458790427848,6.60233765916356,4.04724374066837e-11,1.61889749626735e-09
"(TCC)n",105.781496611933,3.54793318462153,0.561322362738371,6.32066958336238,2.60432350755472e-10,8.92910916875905e-09
"(TGG)n",419.082994057882,1.9082974500848,0.304413500260285,6.2687674773068,3.63917077288467e-10,1.0917512318654e-08
"TC5A",68.0405310367799,-3.20086225728893,0.554459557571832,-5.77294089997582,7.78997705756734e-09,2.07732721535129e-07
"(CGG)n",69.9375938292282,2.32341964934037,0.411094044737187,5.65179593108855,1.58780032420255e-08,3.81072077808612e-07
"CeRep55",237.067060365576,-3.57009887998036,0.686003172993733,-5.20420170128421,1.94832304627531e-07,4.25088664641886e-06
"(CAG)n",207.715808350068,1.57977673298956,0.318860594427683,4.95444329151136,7.25376671479582e-07,1.33915693196231e-05
"(GAAAA)n",18.8552269840331,3.95550871492647,0.797216000323512,4.96165244215033,6.9895982084562e-07,1.33915693196231e-05
"(CAA)n",421.688224872213,1.68749126581654,0.393187175678637,4.29182681989552,1.77209137621736e-05,0.000303787093065834
"Mariner2_CE",246.960906884332,-1.56750381843361,0.371706716900484,-4.21704464074366,2.47524988049736e-05,0.000396039980879578
"(CAAA)n",15.1308473961218,3.83707994298219,0.929337636738082,4.12883304333838,3.64609026893832e-05,0.000546913540340747
"(CCAA)n",20.9340185860031,4.15621864775209,1.05746193919327,3.93037185898419,8.48145861000093e-05,0.00119738239200013
"(TTC)n",147.592174356696,1.31229598629999,0.346990697439584,3.78193420164667,0.000155614499761279,0.00196565683908985
"CELE45",2986.18444021554,-1.56327654922856,0.412186399857549,-3.79264466214515,0.000149051367524445,0.00196565683908985
"(GA)n",181.648312863651,1.4237157475004,0.394827954826252,3.60591424719894,0.000311055851228217,0.0037326702147386
"(TTG)n",409.276500274491,1.41584554273352,0.399219021113798,3.54653828563425,0.000390328021681415,0.00446089167635903
"Turmoil2",33.1933755738072,2.5688519548682,0.733931660043028,3.50012418692715,0.000465041453606226,0.0050731794938861
"TC4",55.2152353587291,-1.36868697025034,0.394782887811702,-3.46693590960092,0.000526427392374699,0.00549315539869252
"TIR43YW1_CE",20.7274804914367,-3.21152138659643,0.941216700559904,-3.41209562546647,0.000644654944067936,0.00644654944067936
"(AATTG)n",20.1760459582201,3.12164055695275,0.92736742579782,3.36613134137981,0.00076230402492765,0.00731811863930544
"CERP4",57.2325935442286,-1.14830996618538,0.343730679550169,-3.34072584876084,0.00083559688234489,0.0077132019908759
"(ATG)n",454.605540410249,1.02865071570121,0.316661264225441,3.24842610041778,0.00116045348120082,0.0103151420551184
"(CTG)n",1404.18324515245,1.08950161779475,0.341763479056345,3.18788192583658,0.00143319047113041,0.0122844897525464
"LONGPAL2",18.1950089476262,-1.74235419964799,0.552485109290268,-3.15366725790356,0.00161232805919128,0.0133434046277899
"CER10-I_CE-int",86.7764534040371,-2.01378706848951,0.661504036938643,-3.0442551459082,0.00233257221397267,0.0176603924117902
"CER13-I_CE-int",6.78770869055365,-4.13754130104623,1.36397851366621,-3.03343583464891,0.00241786123611465,0.0176603924117902
