"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Helitron1_CE",2426.762018961,4.94989204146373,0.578598153210587,8.55497380003244,1.17895506679627e-17,3.71370846040824e-15
"(GAAAA)n",18.8552269840331,-2.98440785410207,0.92850093736388,-3.21422169219897,0.00130798643599413,0.108117690234949
"(TTTA)n",2.94478819089182,5.80926132448319,1.81104536934931,3.20768403862262,0.00133808416363721,0.108117690234949
"C-rich",8.37560810904159,-4.16743061822641,1.30220655901357,-3.20028384850346,0.00137292305060253,0.108117690234949
"CELE45",2986.18444021554,1.45965217851365,0.492382525724034,2.96446787254944,0.00303206901587009,0.15918362333318
"MSAT1_CE",2.67779090847933,-4.96757212119179,1.66853382611748,-2.97720791957264,0.00290886664567905,0.15918362333318
"CELE2",335.526556144819,0.682676361444446,0.243652723464549,2.8018417021461,0.00508117991472625,0.228653096162681
"(CAA)n",421.688224872213,-1.22700749292132,0.468898388640456,-2.61678760824696,0.00887615521626126,0.349498611640287
"CER3-1-LTR_CE",7.88129139880543,3.23234761420747,1.27583204807252,2.53352125704223,0.0112922890975675,0.395230118414862
"(ATGGTG)n",24.0927856275754,-2.64373564696406,1.1571124754997,-2.28476980668829,0.0223263289603679,0.411679926727263
"(TTTC)n",2.94413504834575,-3.44244739058474,1.53405775633664,-2.24401420113763,0.0248314876438667,0.411679926727263
"(TTTG)n",2.13733929275571,-5.35246068755833,2.27163242785144,-2.35621776742323,0.0184620910352045,0.411679926727263
"AT_rich",11459.1960218515,0.826356332114004,0.366399690848381,2.25534123732641,0.0241119181075423,0.411679926727263
"LINE2B_CE",11.8094485017677,-3.47454613192183,1.44837024866978,-2.39893503412746,0.0164428316702566,0.411679926727263
"Merlin1m_CE",4.97585544947888,-5.00895846815801,2.18103897227787,-2.29659283113437,0.0216420079880152,0.411679926727263
"PALTA4_CE",4.41371442659546,4.64929222815842,1.91593203568562,2.42664778372197,0.0152390423898133,0.411679926727263
"PALTTAA3_CE",127.835329903093,0.760094046725876,0.307024130540704,2.47568178236436,0.0132982045300432,0.411679926727263
"T-rich",1474.75548809224,0.935747127251205,0.401692105540092,2.32951336196427,0.0198318859704882,0.411679926727263
"TC2",15.0510229531318,2.13079074107913,0.922766553759861,2.30913304388539,0.0209361996192344,0.411679926727263
"CER16-LTR_CE",3.91104505654413,-3.20680070832453,1.45407050847264,-2.20539560471037,0.0274263462069313,0.431964952759167
"CeRep52",37.1254545475566,-1.52983048347672,0.707427742539369,-2.1625254304917,0.0305776990844968,0.452058449336798
"PAL8C_3",7.67146280599682,3.53616128406228,1.65861787253655,2.13199275289032,0.0330074423325281,0.452058449336798
"TIR43YW1_CE",20.7274804914367,2.32443202363751,1.0819457014444,2.14838140262897,0.031683468944716,0.452058449336798
"(CCCCAG)n",831.774419119078,-1.09710059150908,0.523385473690529,-2.09616171379985,0.0360678479840563,0.452204624418227
"(TTCA)n",2.1757717279482,3.87111018474977,1.85441645178379,2.087508542661,0.0368421896583757,0.452204624418227
"CER15-1-I_CE-int",12.4778192298251,2.8560003060535,1.3716307909926,2.08219320010067,0.0373248261424569,0.452204624418227
"CEMUDR2",44.3585050397237,-2.28675529090067,1.13499853220583,-2.01476497635327,0.043929280401804,0.47716287332994
"HelitronY2_CE",50.7026325695902,-1.66669546774195,0.821557608332708,-2.02870188388175,0.0424886639090469,0.47716287332994
"PAL8B_CE",1.43027507414899,-4.25055596824607,2.08222685348321,-2.04135104738258,0.0412159464855255,0.47716287332994
"(CA)n",69.3620173922921,-1.37468550740258,0.711079723068917,-1.93323682676484,0.0532070300357386,0.492947484154637
"(GAA)n",315.042664841835,-0.67565176474993,0.34433652964356,-1.96218439399773,0.0497410201803375,0.492947484154637
"(T)n",12.7878464397933,1.6831919120385,0.868916513700019,1.9371158051435,0.0527311890309886,0.492947484154637
"CER11-I_CE-int",9.59727353497835,-3.61755561448682,1.82874779349229,-1.97815993400518,0.0479106670516917,0.492947484154637
"RTE1",201.448857540407,-0.8867426294847,0.457122523036066,-1.93983578755917,0.0523996498534159,0.492947484154637
"(CTG)n",1404.18324515245,0.782616131152633,0.408906074614071,1.91392639958033,0.0556295606603815,0.500666045943434
"(TTAGGC)n",85.2482544960848,-0.804452541801783,0.423652455650957,-1.89885018031045,0.0575841772547823,0.503861550979345
"HAT3_CE",14.3576600620328,-1.3869849155952,0.736509327265221,-1.88318716986967,0.0596750071648745,0.508043979917175
"(CAAA)n",15.1308473961218,2.46970811609193,1.32603531172186,1.86247537622886,0.0625361131424559,0.5183914642072
"(CCCCAA)n",6.45094442653137,7.3702227121024,4.08221144917701,1.80544854274716,0.0710045208423482,0.521978948158957
"CELE46B",98.7186556408622,0.679350965355314,0.370851141069186,1.8318696914258,0.0669708370730759,0.521978948158957
"NDNAX2_CE",28.4474076477411,-1.50096569013148,0.828339061546043,-1.81201848350604,0.0699833405706385,0.521978948158957
"PAL5A_CE",85.6180320338149,0.942213450008329,0.520105522268612,1.81158132276418,0.0700509130086938,0.521978948158957
"PALTTTAAA2",58.535397082637,1.18577111739846,0.657354429007386,1.80385354547468,0.0712542691137624,0.521978948158957
"CEMUDR1",75.4772461702691,0.807592302808385,0.451070834172956,1.7903890955156,0.0733913820968379,0.525415576375089
"CER9-I_CE-int",62.8957207934,-1.72029745376503,0.966841795762097,-1.77929570412192,0.0751912948972511,0.526339064280757
"(GGAGAA)n",1.79047277902299,5.12844213162891,2.93030092467244,1.75014179890149,0.0800938487052503,0.536799198769231
"CER7-I_CE-int",2226.08992471913,1.17998890230115,0.671944304795204,1.75608141014126,0.0790745088372075,0.536799198769231
"Chapaev-2_CE",29.1147741505083,1.07823880805013,0.626141551471296,1.72203682300992,0.0850628482408732,0.55822494158073
"G-rich",10.5250894231152,-1.98862972180807,1.18535798799909,-1.67766172071352,0.0934131562982568,0.600513147631651
"PALTTAA2_CE",71.830960637941,-0.621745425378481,0.379740932000774,-1.63728840634228,0.101570222223051,0.639892400005219
"(CCTA)n",31.0133534485701,-0.842869739355903,0.529599347741344,-1.5915233713006,0.111491839990013,0.642820791158699
"(GAATG)n",1.60873490826325,-3.73328217898748,2.35062048334564,-1.58821137033312,0.112238550837233,0.642820791158699
"CELE12A",16.6282953235586,-1.31212890744695,0.816829075426541,-1.60636900291749,0.108192857311174,0.642820791158699
"LINE2C_CE",32.455251700933,-1.3810589005387,0.851747339276692,-1.62144198972374,0.104922881620635,0.642820791158699
"TIR9TA1_CE",25.9775584596272,-1.30558780345988,0.821054969133089,-1.59013446424712,0.111804498906273,0.642820791158699
"CER2-I_CE-int",18.9113695449912,-1.95384372981347,1.26661850143946,-1.54256686412918,0.122935902984407,0.691514454287289
"PAL8C_2",3.44844351139757,2.76760688755415,1.81394572820823,1.5257385292822,0.127074994961972,0.702256551105635
"CERP1",1.71639742954053,-3.80423238415749,2.55024701842997,-1.49171133488846,0.135774836334445,0.737397818023281
"(CAT)n",511.312071231245,0.495616496031002,0.33718177211804,1.46987926695366,0.141594455755327,0.739662643803725
"CELE11",82.8976263793044,0.673909355918383,0.460369286797329,1.46384516787946,0.143236258006436,0.739662643803725
"NTC2A",16.3328807479865,-1.26242669939125,0.855755572569067,-1.4752187889368,0.140153731635501,0.739662643803725
"(TGGA)n",12.1832172650354,-1.79482597580833,1.24050017006028,-1.44685669468398,0.147937064047406,0.751615728627949
"(ACTAG)n",4.75887043737828,-3.06372657314741,2.13427429680753,-1.4354886706597,0.151147894462386,0.753134943621362
"(ATG)n",454.605540410249,-0.539474454893838,0.377531418331108,-1.42895247573991,0.153017893307197,0.753134943621362
"(TTGGGG)n",1.99459040742184,3.10838821515048,2.22639191331567,1.39615500602556,0.162667822588207,0.788313294081312
"(TAGG)n",24.017919683672,-1.51724905700767,1.10950885832069,-1.36749611833124,0.171469853122162,0.806164234828073
"CER5-I_CE-int",10.962780226414,-2.1864392533618,1.59213818866802,-1.37327228812404,0.169667714229708,0.806164234828073
"MARINCE1",20.007505232506,-1.47941308160761,1.0912380324176,-1.35571986831326,0.175188315379075,0.811534108006008
"(CATATA)n",2.80475487764694,2.66432230299457,2.00486347960079,1.32892954064139,0.183871216759832,0.839412076512278
"(AATTG)n",20.1760459582201,1.4836076165601,1.19089653540114,1.24579052206275,0.212841310079779,0.846855046929311
"(CCA)n",431.78391708327,0.396262041176677,0.318735711269801,1.24323076193133,0.21378280999927,0.846855046929311
"(CCCGAA)n",23.8631830349112,-0.897466326839608,0.693897269059737,-1.2933705994487,0.195882913595945,0.846855046929311
"(TA)n",30.2101135232375,-0.841529981964193,0.64693284432228,-1.30079959511991,0.193327060605634,0.846855046929311
"CERP2",31.1423301386505,0.644260733405466,0.522727170054325,1.23249903642566,0.217762726353252,0.846855046929311
"Chapaev-1_CE",86.6978455246071,-0.486661335298192,0.388332117198641,-1.25320907992077,0.210129626368732,0.846855046929311
"LINE2C1_CE",51.549982601032,-0.989151878810654,0.798950166475597,-1.23806455060156,0.215692126920332,0.846855046929311
"LONGPAL2",18.1950089476262,-0.763460968626205,0.590049478576496,-1.29389313328107,0.19570233670334,0.846855046929311
"LTR2_CE",4.55441363674494,-2.10279025902053,1.69450824961627,-1.24094424414677,0.214626346694125,0.846855046929311
