,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Helitron1_CE,2426.762018961,4.29803571695385,0.584102516854617,7.35835849518113,1.86185477864691e-13,5.25043047578428e-11
MSAT1_CE,2.67779090847933,-3.88821749956779,1.17089453971531,-3.32072391465177,0.00089784305400448,0.111533071242673
Merlin1m_CE,4.97585544947888,-4.79091586959102,1.47771976214432,-3.24210042548183,0.00118652203449652,0.111533071242673
CELE45,2986.18444021554,1.28403460269371,0.414022243347084,3.10136622687992,0.00192629887360713,0.135804070589303
(T)n,12.7878464397933,1.8523515208193,0.646390449286069,2.86568516423038,0.00416107847284345,0.167632018477407
(TTTC)n,2.94413504834575,-3.17467741522571,1.09065969843124,-2.91078639816987,0.00360520389616527,0.167632018477407
C-rich,8.37560810904159,-3.1679915665382,1.07689865192414,-2.94177317510594,0.00326338866131253,0.167632018477407
LINE2B_CE,11.8094485017677,-3.02351717593078,1.1726967361533,-2.57826007587313,0.00992992299670391,0.350029785633813
PALTA4_CE,4.41371442659546,3.61041078779126,1.48169592433031,2.43667457573865,0.0148230124733687,0.464454390832219
CER9-I_CE-int,62.8957207934,-1.62185134562566,0.696227313275265,-2.32948537740638,0.0198333667636211,0.559300942734115
CERP3,148.309503523805,-0.701013541716151,0.310130419043707,-2.26038304748608,0.0237974877176284,0.610081048761018
TIR43YW1_CE,20.7274804914367,2.02033328611023,0.918695514596435,2.19913263318557,0.0278684927403606,0.654909579398474
CER16-LTR_CE,3.91104505654413,-2.32264054314255,1.13347829337678,-2.04912661911072,0.0404497351767166,0.760455021322272
CER3-1-LTR_CE,7.88129139880543,1.94204894619984,0.942358581814737,2.06083860610678,0.0393184400054944,0.760455021322272
RTE1,201.448857540407,-0.742431594511428,0.358196884367927,-2.07269137983018,0.0382010105268792,0.760455021322272
(CCTAA)n,1.14217912300627,-2.88363552539344,1.48593874652471,-1.94061533972221,0.052304952059605,0.867646851812271
(TTTA)n,2.94478819089182,2.55346848206031,1.31350118830385,1.94401688007429,0.0518934155656459,0.867646851812271
(TTAGGC)n,85.2482544960848,-0.6479891406763,0.338340449795457,-1.9151985553842,0.0554671866613004,0.868985924360373
(AATTG)n,20.1760459582201,1.58156382810234,1.04749073384613,1.50985949278541,0.131079280631366,0.983581961498469
(ATG)n,454.605540410249,-0.565392042067353,0.32579094829256,-1.73544429343578,0.0826621403974754,0.983581961498469
(ATGGTG)n,24.0927856275754,-1.39373805879024,0.909797262183917,-1.53192157936885,0.12554178768414,0.983581961498469
(CAGAGA)n,9.34476801172101,-1.59916096294078,1.10073271423822,-1.45281496793479,0.146275134966344,0.983581961498469
(CTA)n,14.7141159540804,1.03830852161757,0.671865944355459,1.54541025682385,0.122247060930528,0.983581961498469
(TTTG)n,2.13733929275571,-2.43819733952533,1.75161149622166,-1.3919738165596,0.163930326916412,0.983581961498469
AT_rich,11459.1960218515,0.517175593846407,0.293465628024123,1.76230380821258,0.0780179808131398,0.983581961498469
CELE11,82.8976263793044,0.514212183517767,0.340985062362971,1.50801967673997,0.13154949108234,0.983581961498469
CELE12A,16.6282953235586,-0.97955488493358,0.633255923783984,-1.54685467303694,0.121898293091622,0.983581961498469
CELE2,335.526556144819,0.377399304369611,0.222695907299931,1.69468450922775,0.0901352858375867,0.983581961498469
CEMUDR1,75.4772461702691,0.615641195997565,0.378766155585696,1.62538597210615,0.104080343018775,0.983581961498469
CER11-I_CE-int,9.59727353497835,-2.07558841314574,1.42804075422597,-1.45345180591205,0.146098351502338,0.983581961498469
CER15-1-I_CE-int,12.4778192298251,1.54615032037063,1.03555673173199,1.49306191828298,0.135420979736258,0.983581961498469
