Chrom,Midpoint,Exp
chrV,20924056,89.54533748445981
chrV,20923554,13.546200624167913
chrV,20923119,95.42332228750037
chrV,20922938,52.01563224926227
chrV,20922784,13.319963305095504
chrV,20922113,64.51094007354129
chrV,20921727,30.199899302568216
chrV,20921549,60.98684808468251
chrV,20921545,9.93902395188252
chrV,20921088,13.931093827044458
chrV,20920947,27.207192120892593
chrV,20920287,41.875917862782096
chrV,20919831,68.0603950974834
chrV,20918287,21.62940610675072
chrV,20918181,87.06047139892068
chrV,20918093,95.41419945299762
chrV,20917993,12.083559599487774
chrV,20916432,53.59035546522207
chrV,20916218,30.0767036874289
chrV,20914664,65.91843176643056
chrV,20914187,87.4029999409642
chrV,20913243,46.796482427169366
chrV,20912423,13.074532114191044
chrV,20911913,37.264201986557566
chrV,20911020,16.11816748872763
chrV,20910868,7.763927061590365
chrV,20910786,36.724344602741546
chrV,20910179,91.96518611366378
chrV,20906805,26.81848524271238
chrV,20906443,47.66767775501343
chrV,20906235,53.10248586431161
chrV,20905485,75.66397908863685
chrV,20904271,93.29401175040681
chrV,20904126,72.00585099769778
chrV,20903687,3.240295850055872
chrV,20903008,55.52608067104945
chrV,20902963,89.15298313876676
chrV,20902735,26.863232337641946
chrV,20902377,56.252425792728104
chrV,20902190,59.56928742625679
chrV,20901913,36.595743343736196
chrV,20901737,72.15441664644233
chrV,20900013,33.04485741901424
chrV,20899613,32.09758936705245
chrV,20893100,3.5395955074165486
chrV,20893001,49.559437522266265
chrV,20892797,70.58610666825375
chrV,20892700,33.274196616922836
chrV,20891819,1.2347682984846906
chrV,20888598,73.81085949883305
chrV,20888459,82.43625290987532
chrV,20888285,98.72734349342947
chrV,20887145,95.25478211136931
chrV,20887091,23.339518765409775
chrV,20886917,96.51038496147055
chrV,20886705,9.728844521690965
chrV,20883964,46.13728010751512
chrV,20883746,3.9170225836942327
chrV,20883552,16.972168992749786
chrV,20882559,2.614964829023205
chrV,20882064,81.78546784754533
chrV,20881598,79.1559971713378
chrV,20880102,31.20140501542095
chrV,20879057,32.57608850925874
chrV,20877717,39.85306743220703
chrV,20876272,72.30661486763347
chrV,20876004,55.94475177611766
chrV,20875711,12.000205025160858
chrV,20875661,82.5126153598988
chrV,20875298,94.54663546806647
chrV,20875132,41.79168512556116
chrV,20874393,48.84518698343538
chrV,20874311,15.459603596689929
chrV,20874174,76.41072048444225
chrV,20874022,93.1943027373082
chrV,20873920,99.55498311101796
chrV,20873342,73.37047765059654
chrV,20872893,40.468887718188505
chrV,20870533,26.77449426016712
chrV,20870388,23.013428504407884
chrV,20869175,70.14280280282057
chrV,20868807,85.55327042634292
chrV,20867953,30.540274591892356
chrV,20867819,69.31952848122373
chrV,20867554,8.221169272453093
chrV,20866307,86.127478872304
chrV,20866194,95.05505253545147
chrV,20866022,76.12195863472853
chrV,20865931,24.20038123940155
chrV,20865736,5.536982252978789
chrV,20862517,67.74274628597168
chrV,20860344,27.676466519279572
chrV,20859952,38.20827296498852
chrV,20859181,38.998359703521196
chrV,20859073,71.95638950522039
chrV,20858955,21.833873324240436
chrV,20857767,90.99995908171843
chrV,20857512,72.69264567234033
chrV,20856265,20.26762400471375
chrV,20855854,18.92026130959045
chrV,20854757,82.15484621667403
chrV,20854533,34.03113223979019
chrV,20853646,55.29003632846042
chrV,20852986,80.68221197817692
chrV,20851382,82.20282239632475
chrV,20851223,18.668197761947496
chrV,20851176,43.532825702398384
chrV,20851125,54.34362550681096
chrV,20851074,93.72255103842892
chrV,20850078,92.38062311053456
chrV,20849841,59.54768538705039
chrV,20849436,65.27928926914728
chrV,20849297,12.321192240859805
chrV,20848407,70.3045019833714
chrV,20846004,98.79912878463453
chrV,20844763,8.239298872480397
chrV,20844688,98.61678983081741
chrV,20844611,32.96907460885221
chrV,20844487,68.98397604040463
chrV,20844443,1.3700724662253183
chrV,20844358,70.2509887799584
chrV,20843836,23.713479731268848
chrV,20842889,89.41293133116967
chrV,20842312,22.731497587351043
chrV,20840934,52.60848809592482
chrV,20840194,31.98332167743305
chrV,20839943,27.68737374516497
chrV,20839415,56.35573402053969
chrV,20837277,44.203026314026665
chrV,20836268,75.83835147050515
chrV,20832726,25.866662208685856
chrV,20831793,42.94788241082841
chrV,20831505,3.5450696344435904
chrV,20831265,66.49010874797465
chrV,20831135,28.865893442442598
chrV,20831015,68.64190167504023
chrV,20826280,46.451536253443194
chrV,20826175,85.85302036452109
chrV,20824359,33.573866292175886
chrV,20821102,84.3732382017661
chrV,20821101,37.666580967294124
chrV,20821006,79.86681208885035
chrV,20817305,1.4287616235634968
chrV,20816555,9.715184802523021
chrV,20815595,10.849966063511854
chrV,20815453,28.443210950558857
chrV,20815110,46.66802725656639
chrV,20814336,46.78384495008239
chrV,20814279,9.397791870830728
chrV,20814142,80.14913089462267
chrV,20814078,63.947827327261734
chrV,20813512,64.27622964572575
chrV,20813042,48.05228355880884
chrV,20812782,62.1479525538018
chrV,20812554,5.768555038172039
chrV,20812463,99.22055287084409
chrV,20812286,84.22087282696735
chrV,20811394,65.30923745679998
chrV,20810514,26.87608243248554
chrV,20810057,18.845164740530002
chrV,20809699,86.22001688664463
chrV,20809621,43.08828155505385
chrV,20808825,82.76993453519997
chrV,20808690,88.95353461753021
chrV,20808309,25.197273199744405
chrV,20807727,6.143271132951003
chrV,20807623,27.388137278527623
chrV,20807578,89.91384093130785
chrV,20804913,24.184322803620073
chrV,20804072,19.923668310896446
chrV,20803620,70.58043176427857
chrV,20802350,81.2824597944804
chrV,20802258,77.42325477188423
chrV,20801010,46.74639305429549
chrV,20800775,35.20405860649696
chrV,20800558,66.73720287745479
chrV,20799646,60.986199471418026
chrV,20799530,59.86888784568041
chrV,20799368,99.94348902885967
chrV,20799351,17.62168774296893
chrV,20798669,43.36855756831634
chrV,20798484,70.05914553265303
chrV,20797831,77.44312210577289
chrV,20797376,14.573054736671482
chrV,20797255,19.13704365904091
chrV,20797215,57.358322731057314
chrV,20796224,46.95876926979541
chrV,20795879,80.25530409092707
chrV,20795469,70.96937733384004
chrV,20794867,54.728405123909624
chrV,20794638,24.366750872152995
chrV,20793372,20.405528907173608
chrV,20793172,32.712700696117366
chrV,20792829,77.70361684191535
chrV,20792033,24.712865089993944
chrV,20791747,38.23446678985233
chrV,20791725,23.586719807573072
chrV,20791679,5.755588679920443
chrV,20791455,28.241707465867105
chrV,20790506,48.708798067232436
chrV,20790106,94.23037502150692
chrV,20788415,87.62015840865398
chrV,20788398,52.79020831404708
chrV,20787803,14.728729328773703
chrV,20787337,13.646763197076389
chrV,20785840,68.8493541006918
chrV,20785553,27.58584318749414
chrV,20785405,60.33782647991909
chrV,20780964,52.430755405578246
chrV,20779460,42.05500959616238
chrV,20779331,16.63822428273307
chrV,20777861,57.58642008092694
chrV,20777668,58.598073648418044
chrV,20776631,13.358128851274962
chrV,20776273,53.388545214701416
chrV,20775777,61.2792144744386
chrV,20774528,57.79545836810267
chrV,20773106,30.919231958287913
chrV,20772158,82.20112311581336
chrV,20771631,56.27811357159043
chrV,20771448,77.77021614645817
chrV,20771195,92.61424009465813
chrV,20769601,18.306478489893546
chrV,20768157,3.3022585392097756
chrV,20765287,4.630549587954979
chrV,20764107,44.06085014353917
chrV,20763984,8.268276153844699
chrV,20763858,9.092747428599052
chrV,20762969,98.54340580710667
chrV,20762717,80.83154234491734
chrV,20762626,76.88807565540283
chrV,20761583,25.576565791064525
chrV,20761507,69.36015897828095
chrV,20761335,8.043009667641027
chrV,20761259,25.458541694550966
chrV,20756363,55.1087310578633
chrV,20756046,73.46988335147424
chrV,20756019,9.181134018644311
chrV,20754715,28.56865229907699
chrV,20754650,6.345280961671774
chrV,20751959,69.18329157392262
chrV,20750752,78.88291612167303
chrV,20747752,59.36962334683016
chrV,20747705,39.67427531950401
chrV,20747620,48.97376852480844
chrV,20747468,5.2753236029927155
chrV,20745003,17.456871476489308
chrV,20743634,16.627586249084793
chrV,20742747,77.87004125377811
chrV,20742097,46.640767787012095
chrV,20742071,96.8388543910722
chrV,20741161,78.63289721285935
chrV,20741081,23.570472193844044
chrV,20740990,9.111922687580968
chrV,20740907,59.5504586516423
chrV,20740873,90.61601855272595
chrV,20739089,82.96332211371036
chrV,20738271,46.49601738512003
chrV,20737834,96.96795054681586
chrV,20737090,65.71550266715877
chrV,20737047,77.08461670055712
chrV,20737003,46.07742279229723
chrV,20736984,80.54744140262504
chrV,20736882,8.627340403258884
chrV,20736771,18.115529681653424
chrV,20731517,49.2622333763912
chrV,20731458,50.42842170336413
chrV,20731408,78.51841808063016
chrV,20731111,13.310881686832555
chrV,20730500,58.25576106225883
chrV,20730223,40.74521782611354
chrV,20727142,70.13883281444092
chrV,20726028,17.116217498997933
chrV,20726006,51.74912196753967
chrV,20725701,95.4830933553423
chrV,20725650,82.52429838657669
chrV,20725069,32.434737044401786
chrV,20724181,59.89698879993194
chrV,20723711,22.32035777989138
chrV,20721534,35.685745764079314
chrV,20721412,22.99789076709504
chrV,20721190,77.54615139838327
chrV,20720254,63.35460464761803
chrV,20720055,9.885456161014044
chrV,20719094,29.326266999745965
chrV,20718446,87.05946773664111
chrV,20717456,54.76426072897016
chrV,20717233,93.90728745420888
chrV,20717084,14.686723553092042
chrV,20716982,3.6184796523143667
chrV,20715348,67.66494675471696
chrV,20714321,11.690521605303617
chrV,20714192,2.562933712882162
chrV,20713420,88.67274160843465
chrV,20712720,59.88880510820665
chrV,20712713,74.44593626073296
chrV,20710038,71.11126609875079
chrV,20709926,49.13713703124572
chrV,20709184,97.53051253925639
chrV,20707122,67.07246383151995
chrV,20707072,58.272667448535096
chrV,20706952,76.1342921542581
chrV,20706337,74.47229812956587
chrV,20706258,60.16660127943269
chrV,20704905,76.17540223549892
chrV,20703779,1.3753237185705833
chrV,20703131,8.219947894031327
chrV,20702847,33.4421987458059
chrV,20702755,76.38232236159695
chrV,20702718,70.05511662490102
chrV,20702250,63.4871526840492
chrV,20701488,47.37698865977955
chrV,20701205,82.21105266279999
chrV,20701136,14.691597519761135
chrV,20700887,54.87000471223929
chrV,20700076,70.72169924341986
chrV,20699247,1.8438731260388166
chrV,20699168,75.6024016472711
chrV,20699013,72.11849902593647
chrV,20698806,81.47599146581757
chrV,20697383,81.08332184193372
chrV,20695741,25.933375185889265
chrV,20695629,83.4349614613494
chrV,20694445,6.995055306543122
chrV,20693398,97.55115887441515
chrV,20692426,69.73729803375102
chrV,20692358,98.64537141626272
chrV,20692204,84.70532560148399
chrV,20692045,8.949180796133039
chrV,20690387,22.873064219142687
chrV,20690333,3.5924125981881136
chrV,20690281,11.209006274594596
chrV,20690149,94.99132784674948
chrV,20690059,35.42940525340001
chrV,20686969,89.0028792762155
chrV,20686110,96.89680269713759
chrV,20684916,51.483103706710914
chrV,20684178,91.50936255200513
chrV,20683379,27.949661283137793
chrV,20681979,83.17645999198339
chrV,20679474,17.72345293599572
chrV,20678462,43.241728869390485
chrV,20677834,9.488026508551359
chrV,20675146,8.78750299772614
chrV,20673400,47.994054300266086
chrV,20669626,26.91673574391669
chrV,20663044,47.85129869005305
chrV,20661982,16.5273357945476
chrV,20659222,88.9846424698524
chrV,20658798,70.42458898907664
